0.000216  0.000000  -0.091087
0.000478  0.000056  -0.190684
0.000830  0.000092  -0.289487
0.001178  0.000127  -0.386770
0.000855  0.000225  -0.486117
0.001397  0.001312  -0.584225
0.001337  0.001827  -0.680962
0.002439  0.002731  -0.780683
0.003512  0.003610  -0.877689
0.004693  0.004578  -0.984484
0.004821  0.004854  -1.081428
0.007213  0.005650  -1.179526
0.007640  0.002583  -1.277197
0.008055  -0.000403  -1.372247
0.008137  0.000200  -1.474991
0.009750  0.002822  -1.566087
0.014997  0.009785  -1.672564
0.019765  0.016112  -1.769261
0.024498  0.022392  -1.865185
0.029734  0.029342  -1.971288
0.026598  0.032011  -2.080233
0.023728  0.034451  -2.179801
0.029248  0.038980  -2.280781
0.035419  0.044043  -2.393586
0.040974  0.048600  -2.495089
0.047074  0.053604  -2.606484
0.052503  0.058056  -2.705560
0.057278  0.068960  -2.825814
0.061540  0.078693  -2.933088
0.066296  0.089558  -3.052772
0.073453  0.102107  -3.166838
0.080525  0.114506  -3.279471
0.088442  0.128390  -3.405509
0.095589  0.140923  -3.519211
0.102674  0.153350  -3.631876
0.109868  0.165967  -3.746199
0.117040  0.178547  -3.860107
0.152126  0.240506  -3.959980
0.184122  0.297011  -4.050942
0.216059  0.353410  -4.141619
0.247919  0.409675  -4.231965
0.281648  0.443722  -4.282358
0.313163  0.475528  -4.329324
0.272304  0.352843  -4.430660
0.227271  0.217643  -4.542166
0.259635  0.261214  -4.586649
0.291747  0.304450  -4.630656
0.323984  0.347857  -4.674701
0.355744  0.390624  -4.717965
0.391153  0.438309  -4.766057
0.423309  0.481616  -4.809602
0.539356  0.504132  -4.767145
0.654052  0.526372  -4.725031
0.780351  0.550846  -4.678493
0.890710  0.572219  -4.637685
1.012754  0.595840  -4.592402
1.122565  0.617081  -4.551517
1.246428  0.641026  -4.505245
1.359111  0.662797  -4.463008
1.481550  0.686439  -4.416964
1.593129  0.707971  -4.374866
1.715442  0.731561  -4.328568
1.800651  0.783801  -4.299071
1.895256  0.841817  -4.266177
2.018124  0.843978  -4.214161
